Description,Type,Softwares,Work instruction,Message,Files,Base Resume,Supplementary Resume,Difficulty level,Resolution,Logs
Alteração de cadastro de usuário para ambiente QA.,Alteração de Cadastro,SISTEMA Y,,,,,,1,"1. Recebido chamado com autorização anexa.
2. Acessado o sistema SISTEMA Y via navegador.
3. Navegado até a página de login e autenticado com credenciais de Gestão de Acessos.
4. Clicado em ""Atualizar Informação"".
5. Selecionado usuário Maria Oliveira.
6. Alterado ambiente de DEV para QA.
7. Clicado em ""Confirmar"".","2024-07-12 15:00 - Acesso ao sistema realizado.
2024-07-12 15:05 - Usuário Maria Oliveira selecionado.
2024-07-12 15:10 - Ambiente alterado para QA.
2024-07-12 15:15 - Alteração finalizada e confirmação recebida."
Cadastro de novo usuário no ambiente DEV.,Cadastro de Usuário,SISTEMA Y,,,,,,1,"1. Recebido chamado com autorização de Controles Internos anexa.
2. Acessado o sistema SISTEMA Y via navegador.
3. Navegado até a página de login e autenticado com credenciais de Gestão de Acessos.
4. Clicado em ""Novo Usuário"".
5. Preenchido dados: Pedro Costa, CPF, RG, Login de rede, Perfil Desenvolvedor.
6. Selecionado ambiente DEV.
7. Clicado em ""Cadastrar Usuários"".
8. Mensagem de confirmação de cadastro recebida.
9. Informado o usuário sobre a finalização do cadastro e senha provisória.","2024-07-12 16:00 - Acesso ao sistema realizado.
2024-07-12 16:05 - Dados do usuário Pedro Costa preenchidos.
2024-07-12 16:10 - Ambiente DEV selecionado.
2024-07-12 16:15 - Cadastro finalizado e confirmação recebida."
Reset de senha no ambiente de Produção do SAP Portal.,Reset de Senha,SAP Portal,,,,,,1,"1. Recebido chamado do usuário com autorização do gestor imediato.
2. Acessado o ambiente de Produção do SAP Portal via endereço https://xxxxxxxxxxxxxxxxxxxxxx.
3. Realizado logon com usuário administrativo.
4. Navegado até a aba ""Administração de Usuário"".
5. Informado o usuário ""joao.silva"" e clicado em ""Modificar"".
6. Na aba ""Informações Gerais"", alterado a senha nos campos ""Definir Senha"" e ""Confirmar Senha"".
7. Clicado em ""Gravar"" para salvar a alteração.","2024-07-12 10:00 - Chamado recebido.
2024-07-12 10:05 - Logon realizado no SAP Portal.
2024-07-12 10:10 - Usuário ""joao.silva"" modificado.
2024-07-12 10:15 - Senha alterada e salva."
Reset de senha no ambiente de Desenvolvimento do SAP Portal.,Reset de Senha,SAP Portal,,,,,,1,"1. Recebido chamado do próprio usuário.
2. Acessado o ambiente de Desenvolvimento do SAP Portal via endereço https://xxxxxxxxxxxxxxxxxxxxxx.
3. Realizado logon com usuário administrativo.
4. Navegado até a aba ""Administração de Usuário"".
5. Informado o usuário ""maria.souza"" e clicado em ""Modificar"".
6. Na aba ""Informações Gerais"", alterado a senha nos campos ""Definir Senha"" e ""Confirmar Senha"".
7. Clicado em ""Gravar"" para salvar a alteração.","2024-07-12 11:00 - Chamado recebido.
2024-07-12 11:05 - Logon realizado no SAP Portal.
2024-07-12 11:10 - Usuário ""maria.souza"" modificado.
2024-07-12 11:15 - Senha alterada e salva."
Reset de senha no ambiente de Qualidade do SAP Portal.,Reset de Senha,SAP Portal,,,,,,1,"1. Recebido chamado do usuário com autorização do gestor imediato.
2. Acessado o ambiente de Qualidade do SAP Portal via endereço https://xxxxxxxxxxxxxxxxxxxxxx.
3. Realizado logon com usuário administrativo.
4. Navegado até a aba ""Administração de Usuário"".
5. Informado o usuário ""pedro.alves"" e clicado em ""Modificar"".
6. Na aba ""Informações Gerais"", alterado a senha nos campos ""Definir Senha"" e ""Confirmar Senha"".
7. Clicado em ""Gravar"" para salvar a alteração.","024-07-12 12:00 - Chamado recebido.
2024-07-12 12:05 - Logon realizado no SAP Portal.
2024-07-12 12:10 - Usuário ""pedro.alves"" modificado.
2024-07-12 12:15 - Senha alterada e salva."
Usuário solicita ativação de conta no SAP.,Ativação de conta,SAP,,,,,,2,"1. Verificar se o usuário possui número de identidade ou CPF.
2. Abrir o SAP Logon e acessar o ambiente “02) SAP ERP Produção”.
3. Inserir o número de identidade ou CPF do colaborador.
4. Selecionar a conta e clicar em “Ativar/inativar Conta” (tecla F6).
5. Verificar se o campo “Status cta” está com o valor “A” para Ativo.
6. Finalizar a alteração e verificar logs de execução SM49.","2024-07-12 10:00 - Chamado recebido.
2024-07-12 10:05 - Logon realizado no SAP Portal.
2024-07-12 10:10 - Usuário ""maria.oliveira"" modificado.
2024-07-12 10:15 - Conta ativada e salva."
Usuário não consegue inativar conta do SYSTEMA Y.,Inativação de conta,SAP,,,,,,2,"1. Abrir o SAP Logon e acessar o ambiente “02) SAP ERP Produção”.
2. Inserir o número de identidade ou CPF do colaborador.
3. Selecionar a conta e clicar em “Ativar/inativar Conta” (tecla F6).
4. Verificar se o campo “Status cta” está com o valor “I” para Inativo.
5. Se a mensagem “0 rows affected” aparecer, procurar pelo funcionário no sistema correspondente.
6. Excluir e cadastrar a conta novamente, se necessário.","2024-07-12 11:30 - Chamado recebido.
2024-07-12 11:35 - Logon realizado no SAP Portal.
2024-07-12 11:40 - Usuário ""carlos.santos"" modificado.
2024-07-12 11:45 - Tentativa de inativação realizada.
2024-07-12 11:50 - Conta recadastrada e inativação confirmada"
Gestor solicita revisão semestral de acessos no sistema SAP.,Revisão de acessos,SAP,,,,,,2,"1. Gerar lista de acessos ativos pelo time de Digital - Acessos.
2. Validar a lista com o Gestor de Negócio.
3. Registrar alterações no Sistema de ITSM de Digital em nome do Gestor.
4. Executar a atualização dos acessos conforme as validações recebidas.
5. Finalizar o chamado no Sistema de ITSM com status de resolvido.","2024-07-12 14:00 - Chamado recebido.
2024-07-12 14:05 - Logon realizado no SAP Portal.
2024-07-12 14:10 - Lista de acessos gerada e validada.
2024-07-12 14:15 - Atualizações registradas e revisões concluídas."
Usuário solicita prorrogação de acesso no SAP conforme notificação automática de vencimento.,Prorrogação de acesso,SAP,,,,,,1,"1. Acessar a caixa de e-mail “Suporte” para verificar notificação de prorrogação.
2. Abrir o SAP e acessar ZBO103 para verificar detalhes do acesso.
3. Validar e responder ao gestor responsável pela prorrogação.
4. Atualizar data de desligamento na transação ZBO103 conforme solicitado.
5. Registrar alterações no ITSM de Digital e finalizar o chamado com status de resolvido.","2024-07-12 09:00 - Chamado recebido.
2024-07-12 09:05 - Acesso à caixa de e-mail “Suporte”.
2024-07-12 09:10 - Logon realizado no SAP Portal.
2024-07-12 09:15 - Prorrogação de acesso realizada conforme orientações.
2024-07-12 09:20 - Chamado finalizado com status de resolvido."
Gestor solicita revogação programada de acesso no SAP para data futura.,Revogação de acesso,SAP,,,,,,2,"1. Verificar e validar solicitação de revogação programada no e-mail do gestor.
2. Acessar ZBO103 e selecionar a flag “Revogação     3. Programada” para bloquear o JOB do SAP até a data fim.
4. Confirmar a revogação automática para um dia após a data de desligamento.
5. Registrar alterações no ITSM de Digital e finalizar o chamado com status de resolvido.","2024-07-12 11:00 - Chamado recebido.
2024-07-12 11:05 - Verificação da solicitação de revogação no e-mail do gestor.
2024-07-12 11:10 - Logon realizado no SAP Portal.
2024-07-12 11:15 - Revogação programada confirmada na ZBO103.
2024-07-12 11:20 - Chamado finalizado com status de resolvido."
Acesso de terceiro revogado automaticamente pelo JOB do SAP devido à falta de resposta do gestor.,Revogação de acesso,SAP,,,,,,2,"1. Verificar e registrar o e-mail automático de revogação pelo JOB do SAP.
2. Acessar ZBO104 para confirmar inatividade do acesso no SAP.
3. Verificar registros automáticos na ZBO127 para confirmar inatividade no AD.
4. Registrar alterações no ITSM de Digital e finalizar o chamado com status de resolvido.","2024-07-12 13:00 - Chamado recebido.
2024-07-12 13:05 - Verificação do e-mail automático de revogação.
2024-07-12 13:10 - Logon realizado no SAP Portal.
2024-07-12 13:15 - Confirmação de revogação automática na ZBO104 e ZBO127.
2024-07-12 13:20 - Chamado finalizado com status de resolvido."
Usuário solicita desbloqueio de acesso no sistema SAP.,Desbloqueio de acesso,SAP Solution Manager,,,,,,1,"1. Acessar o SAP Solution Manager no ambiente 06).
2. Digitar a transação “SU01” e pressionar Enter.
3. Buscar o nome completo do usuário usando o matchcode.
4. Selecionar o usuário e clicar em “Desbloquear”.
5. Registrar o número do chamado e salvar a alteração.","2024-07-12 09:00 - Chamado recebido.
2024-07-12 09:05 - Logon realizado no SAP Solution Manager.
2024-07-12 09:10 - Usuário ""ana.silva"" desbloqueado no SAP.
2024-07-12 09:15 - Chamado finalizado com status de resolvido."
Usuário solicita desbloqueio de acesso no SAP Portal no ambiente de produção.,Desbloqueio de acesso,SAP Portal,,,,,,1,"1. Acessar o SAP Portal no ambiente de produção através do link fornecido.
2. Selecionar a aba “Administração de Usuário”.
3. Buscar e selecionar o usuário desejado.
4. Na aba “Informações sobre a conta”, desmarcar o campo “Senha bloqueada” e salvar.","2024-07-12 11:00 - Chamado recebido.
2024-07-12 11:05 - Logon realizado no SAP Portal - Ambiente de Produção.
2024-07-12 11:10 - Usuário ""joao.pereira"" desbloqueado no SAP Portal.
2024-07-12 11:15 - Chamado finalizado com status de resolvido."
Usuário solicita desbloqueio de acesso no SAP Portal no ambiente de qualidade.,Desbloqueio de acesso,SAP Portal,,,,,,2,"1. Acessar o SAP Portal no ambiente de qualidade através do link fornecido.
2. Selecionar a aba “Administração de Usuário”.
3. Buscar e selecionar o usuário desejado.
4. Na aba “Informações sobre a conta”, desmarcar o campo “Senha bloqueada” e salvar.","2024-07-12 13:00 - Chamado recebido.
2024-07-12 13:05 - Logon realizado no SAP Portal - Ambiente de Qualidade.
2024-07-12 13:10 - Usuário ""marcio.santos"" desbloqueado no SAP Portal.
2024-07-12 13:15 - Chamado finalizado com status de resolvido."
Usuário solicita a criação de um novo perfil no SISTEMA Y para acesso ao ambiente de Desenvolvimento,Criação de perfil,SISTEMA Y,KB0012187,,,,,2,"1. Acessar o browser conforme o ambiente solicitado (Desenvolvimento).
2. Informar o e-mail corporativo e avançar.
3. Navegar para ""Configurações"" > ""Segurança"".
4. Selecionar ""Direitos de Acesso"" e clicar em ""Novo"".
5. Preencher o campo ""Nome da Função"" com o valor solicitado nos pré-requisitos.
6. No campo ""Unidade de Negócio"", selecionar ""GESTAO_AMBIENTE"".
7. Configurar as permissões de acesso conforme especificado nos pré-requisitos para cada entidade.
Salvar e fechar as configurações.","2024-07-12 14:00 - Chamado recebido para criação de perfil no SISTEMA Y.
2024-07-12 14:05 - Navegação realizada no ambiente de Desenvolvimento.
2024-07-12 14:10 - Novo perfil ""Analista_Ambiente"" criado com permissões definidas.
2024-07-12 14:15 - Chamado finalizado com status de resolvido."
Usuário solicita alteração no perfil do grupo específico no SISTEMA Y para adicionar permissões adicionais.,Alteração de perfil,SISTEMA Y,KB0012474,,,,,1,"1. Acessar o sistema pelo navegador Internet Explorer utilizando o endereço fornecido.
2. Inserir o login e senha corporativos para autenticação.
3. Navegar até a aba ""Segurança"" e selecionar ""Grupos de Usuários"".
4. No menu de ações do item, escolher ""Gerenciar Permissões"".
5. Selecionar o grupo a ser modificado e clicar em ""Novo"" para adicionar novas permissões.
6. Preencher o campo ""Nome da Função"" conforme especificado nos pré-requisitos.
7. Configurar as permissões necessárias para cada funcionalidade listada na Tabela 10, conforme requerido.
8. Após configurar todas as permissões desejadas:
8-1.Clicar em ""Salvar"" para aplicar as permissões ao grupo em uso.
8-2.Ou clicar em ""Cancelar"" para abortar a operação sem salvar alterações.","2024-07-12 14:00 - Recebido chamado para alteração de perfil no SISTEMA Y.
2024-07-12 14:05 - Acesso ao sistema efetuado utilizando o Internet Explorer.
2024-07-12 14:10 - Permissões adicionais configuradas para o grupo ""Grupo_XYZ"".
2024-07-12 14:15 - Chamado encerrado com sucesso após aplicação das alterações."
Usuário solicita a inativação do acesso de um usuário específico no SISTEMA Y devido a desligamento ou outra razão válida.,"Inativação de acesso de usuário
PARTE 1",SISTEMA Y,KB0012483,,,,,1,"Central de Serviços - CS:

1. Verificar se o e-mail padrão está anexado ao chamado com a aprovação do Gerente Executivo, caso a inativação não seja devido a desligamento.
2. Se todos os pré-requisitos estiverem preenchidos, classificar o chamado como ""Inativação de Acesso a 3. Usuário no SISTEMA Y"" e encaminhar para o grupo solucionador N1 - ACESSOS.
4. Caso algum pré-requisito esteja faltando, cancelar o chamado informando a necessidade de seguir as orientações da planilha Template Solicitação de Serviços SYSTEMA Y.","2024-07-12 15:00 - Recebido chamado para inativação de acesso de usuário no SISTEMA Y.
2024-07-12 15:05 - Verificação dos pré-requisitos realizada pela Central de Serviços.
2024-07-12 15:10 - Inativação de acesso executada pelo grupo N1 - ACESSOS.
2024-07-12 15:15 - Chamado encerrado após confirmação da inativação e liberação das licenças."
Usuário solicita a inativação do acesso de um usuário específico no SISTEMA Y devido a desligamento ou outra razão válida.,"Inativação de acesso ao usuário
PARTE 2",SISTEMA Y,KB0012483,,,,,2,"Gestão de Acessos - N1 - ACESSOS:

1. Acessar o Módulo QEF do SISTEMA Y utilizando o link fornecido para autenticação com Windows Authentication.

2. Navegar até a seção ""Users and Groups"" na guia SECTIONS.

3. Selecionar ""Users"" e filtrar o usuário específico a ser inativado.

4. Clicar em ""Member Of"" e remover o usuário dos grupos vinculados, exceto ""All Users"".

5. Confirmar a inativação do usuário clicando em ""OK"" no pop-up de confirmação.
","2024-07-12 15:00 - Recebido chamado para inativação de acesso de usuário no SISTEMA Y.
2024-07-12 15:05 - Verificação dos pré-requisitos realizada pela Central de Serviços.
2024-07-12 15:10 - Inativação de acesso executada pelo grupo N1 - ACESSOS.
2024-07-12 15:15 - Chamado encerrado após confirmação da inativação e liberação das licenças."
Usuário solicita a inativação do acesso de um usuário específico no SISTEMA Y devido a desligamento ou outra razão válida.,"Inativação de acesso de usuário
PARTE 3",SISTEMA Y,KB0012483,,,,,2,"Para inativação de licenças:

Selecionar a seção ""Licenses"" na guia SECTIONS.
Escolher a(s) licença(s) correspondente(s) ao(s) acesso(s) a serem inativados.
Clicar no botão de atualização (refresh) e confirmar a atualização da licença clicando em ""OK"" no pop-up.
Abrir o Anexo II - Controle de Licenças do SISTEMA Y e liberar a(s) licença(s) na coluna ""Em Uso do Gerente Executivo"" para cada tipo de licença inativada.

Alterar o status do acesso do usuário na ZBO104 para ""Inativo"".

Concluir o chamado de inativação de acesso.","2024-07-12 15:00 - Recebido chamado para inativação de acesso de usuário no SISTEMA Y.
2024-07-12 15:05 - Verificação dos pré-requisitos realizada pela Central de Serviços.
2024-07-12 15:10 - Inativação de acesso executada pelo grupo N1 - ACESSOS.
2024-07-12 15:15 - Chamado encerrado após confirmação da inativação e liberação das licenças."
Usuário solicita a alteração do perfil de acesso de um colaborador no SISTEMA Y.,"Alteração de perfil de usuário
Parte 1",SISTEMA Y,KB0027989,,,,,1,"Central de Serviços - CS:

1. Coletar as seguintes informações do colaborador:
Nome completo
Usuário de acesso ao sistema
Ambiente desejado para a alteração (QAS ou PRD)
Motivo da alteração de perfil
Grupo de acesso ou usuário cópia para referência
Autorização do gerente imediato do colaborador
2. Abrir um chamado de alteração de perfil no sistema de ITSM de Digital, designando-o para o grupo de atendimento N1-ACESSOS.","2024-07-12 16:00 - Recebido chamado para alteração de perfil de usuário no SISTEMA Y.
2024-07-12 16:05 - Verificação dos pré-requisitos e autorizações realizada pela Central de Serviços.
2024-07-12 16:10 - Alteração de perfil executada pelo grupo N1-ACESSOS.
2024-07-12 16:15 - Chamado encerrado após confirmação da alteração e notificação ao solicitante."
Usuário solicita a alteração do perfil de acesso de um colaborador no SISTEMA Y.,"Alteração de perfil de usuário
Parte 2",SISTEMA Y,KB0027989,,,,,1,"Gestão de Acessos - N1-ACESSOS:

1. Acessar o sistema via Internet Explorer usando o endereço do ambiente de DESENVOLVIMENTO ou PRODUÇÃO.
2. Realizar login com usuário e senha de ADMINISTRADOR para acesso ao sistema.
3. Navegar para as configurações do sistema clicando em ""Configurações"".
4. Selecionar a opção ""Usuários"".
5. Localizar e clicar sobre o usuário específico que requer a alteração de perfil.
6. Especificar o novo tipo de perfil conforme as opções disponíveis no sistema.
7. Salvar as alterações realizadas.","2024-07-12 16:00 - Recebido chamado para alteração de perfil de usuário no SISTEMA Y.
2024-07-12 16:05 - Verificação dos pré-requisitos e autorizações realizada pela Central de Serviços.
2024-07-12 16:10 - Alteração de perfil executada pelo grupo N1-ACESSOS.
2024-07-12 16:15 - Chamado encerrado após confirmação da alteração e notificação ao solicitante."
Criação de novo usuário para o departamento de Recursos Humanos.,Solicitação de novo usuário,SISTEMA Y,KB0040242,,,,,1,"1. Recebemos uma solicitação aprovada pelo gestor da área de Recursos Humanos para a criação de um novo usuário no SISTEMA Y.
2. Acessamos o SISTEMA Y pelo ícone de atalho na área de trabalho.
3. Inserimos o login e a senha para acessar o sistema.
4. Na tela inicial, clicamos em “Usuários”.
5. Na tela “Cadastro de Usuários”, clicamos em “Incluir”.
6. Preenchemos os campos obrigatórios com as informações fornecidas: Login, Senha, Confirmação de Senha, Nome, E-mail, Perfil e Bloqueado.
7. Salvamos os dados do novo usuário.","2024-07-15 10:00 - Solicitação de criação de novo usuário recebida e aprovada pelo gestor.
2024-07-15 10:05 - Acesso ao SISTEMA Y realizado.
2024-07-15 10:10 - Navegação até a tela “Cadastro de Usuários”.
2024-07-15 10:15 - Informações do novo usuário preenchidas.
2024-07-15 10:20 - Dados do novo usuário salvos.
2024-07-15 10:25 - Chamado finalizado com status de resolvido."
Revisão semestral de acessos e inativação de usuários inativos.,Revisão de acessos,SISTEMA Y,KB0040242,,,,,2,"1. Recebemos a lista de acessos ativos do time de Digital - Acessos.
2. O Gestor de Negócio validou a lista e indicou quais acessos deveriam ser inativados.
3. Registramos as alterações necessárias no Sistema de ITSM de Digital.
4. Atualizamos as informações de acessos no SISTEMA Y, inativando os usuários indicados.
5. Finalizamos o chamado com status de resolvido.","2024-07-15 11:00 - Lista de acessos ativos recebida do time de Digital - Acessos.
2024-07-15 11:10 - Validação da lista realizada pelo Gestor de Negócio.
2024-07-15 11:20 - Registro das alterações no Sistema de ITSM de Digital.
2024-07-15 11:30 - Atualização dos acessos no SISTEMA Y concluída.
2024-07-15 11:40 - Chamado finalizado com status de resolvido."
Criação de usuário administrador para o time de TI.,Solicitação de novo usuário,SISTEMA Y,KB0040242,,,,,1,"1. Recebemos uma solicitação aprovada pelo gestor da área de TI para a criação de um usuário administrador no SISTEMA Y.
2. Acessamos o SISTEMA Y pelo ícone de atalho na área de trabalho.
3. Inserimos o login e a senha para acessar o sistema.
4. Na tela inicial, clicamos em “Usuários”.
5. Na tela “Cadastro de Usuários”, clicamos em “Incluir”.
6. Preenchemos os campos obrigatórios com as informações fornecidas: Login, Senha, Confirmação de Senha, Nome, E-mail, Perfil (Administrador-Administrador) e Bloqueado.
7. Salvamos os dados do novo usuário.","2024-07-15 12:00 - Solicitação de criação de novo usuário administrador recebida e aprovada pelo gestor.
2024-07-15 12:05 - Acesso ao SISTEMA Y realizado.
2024-07-15 12:10 - Navegação até a tela “Cadastro de Usuários”.
2024-07-15 12:15 - Informações do novo usuário preenchidas.
2024-07-15 12:20 - Dados do novo usuário salvos.
2024-07-15 12:25 - Chamado finalizado com status de resolvido."
Inativação de acesso para colaborador da categoria Terceiro,Inativação de usuário,SAP Logon,KB0040416,,,,,2,"1. Recebemos o e-mail autorizando a revogação de acesso para um colaborador da categoria Terceiro.
2. Acessamos o SAP Logon e selecionamos o sistema “02) SAP ERP Produção”.
3. Realizamos o logon no sistema com usuário e senha.
4. Utilizamos a transação “ZBO127” para buscar o usuário pelo número de identidade.
5. Confirmamos a identidade do usuário e procedemos com a inativação.
6. Inserimos a data de desligamento e o motivo, e salvamos as alterações.","2024-07-15 13:00 - E-mail autorizando a revogação de acesso recebido.
2024-07-15 13:05 - Acesso ao SAP Logon realizado.
2024-07-15 13:10 - Navegação até a transação “ZBO127”.
2024-07-15 13:15 - Identidade do usuário confirmada.
2024-07-15 13:20 - Usuário inativado.
2024-07-15 13:25 - Data de desligamento e motivo inseridos.
2024-07-15 13:30 - Chamado finalizado com status de resolvido."
Inativação de usuário a pedido do RH para um funcionário desligado.,Inativação de usuário,SAP ERP Produção,KB0040416,,,,,1,"1. Recebemos o e-mail do RH solicitando a revogação de acesso para um funcionário desligado.
2. Acessamos o SAP Logon e selecionamos o sistema “02) SAP ERP Produção”.
3. Realizamos o logon no sistema com usuário e senha.
4. Utilizamos a transação “ZBO127” para buscar o usuário pelo nome.
5. Confirmamos a identidade do usuário e procedemos com a inativação.
6. Inserimos a data de desligamento e o motivo, e salvamos as alterações.","2024-07-15 14:00 - E-mail do RH solicitando a revogação de acesso recebido.
2024-07-15 14:05 - Acesso ao SAP Logon realizado.
2024-07-15 14:10 - Navegação até a transação “ZBO127”.
2024-07-15 14:15 - Identidade do usuário confirmada.
2024-07-15 14:20 - Usuário inativado.
2024-07-15 14:25 - Data de desligamento e motivo inseridos.
2024-07-15 14:30 - Chamado finalizado com status de resolvido."
